song,track_id,release_date,song_popularity,duration(ms),explicit,artist_name,artist_id,artist_follower_no,artist_genres,artist_popularity,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,birth_year,artist_country,gender,band,repetitions_rate,mean_sentence_len,mean_word_len,unique_words_rate,total_words,total_char,count_word_i,count_word_you,count_word_oh,count_word_know,count_word_it,count_word_like,count_word_got,count_word_and,count_word_yeah,count_word_we,count_word_one,count_word_love,count_word_the,count_word_go,count_word_time,count_word_get,count_word_me,count_word_when,count_word_come,count_word_all
Voices Carry - Single Mix,4eOycahNij77maJicwgHvy,1985,41,261266,False,'Til Tuesday,1L0y9srZMyh9XUnYGv37IP,129538,"['boston rock', 'new romantic', 'new wave', 'new wave pop', 'synthpop']",42,0.00339,0.611,0.645,4.45e-06,0.0,0.0793,-7.394,1.0,0.0264,106.639,4.0,0.411,,United States,,False,,,,,,,,,,,,,,,,,,,,,,,,,,
Bye Bye Bye,62bOmKYxYg7dhrC6gH9vFn,2000-03-21,72,200400,False,*NSYNC,6Ff53KvcvAj5U7Z1vojB5o,1822035,"['boy band', 'dance pop', 'post-teen pop']",65,0.031,0.61,0.926,0.0012,8.0,0.0821,-4.843,0.0,0.0479,172.638,4.0,0.861,,United States,,False,,,,,,,,,,,,,,,,,,,,,,,,,,
Tearin' up My Heart - Radio Edit,73q3FpQVXWk5eSUnyo83E4,1997,65,209400,False,*NSYNC,6Ff53KvcvAj5U7Z1vojB5o,1822035,"['boy band', 'dance pop', 'post-teen pop']",65,0.00211,0.687,0.918,1.26e-05,7.0,0.344,-4.676,1.0,0.0392,110.06,4.0,0.747,,United States,,False,,,,,,,,,,,,,,,,,,,,,,,,,,
I Want You Back - Radio Edit,221LRlPHPuevgE1tuUlof9,1997,61,200440,False,*NSYNC,6Ff53KvcvAj5U7Z1vojB5o,1822035,"['boy band', 'dance pop', 'post-teen pop']",65,0.0521,0.751,0.939,0.00056,8.0,0.477,-3.305,0.0,0.0466,112.041,4.0,0.905,,United States,,False,,,,,,,,,,,,,,,,,,,,,,,,,,
Dreamscape,5fp6m6Zo4LetiWaMMrPjy5,2010,51,277489,False,009 Sound System,0BjppA384A5QT9kRKCJOyb,28620,['dream trance'],36,0.00481,0.549,0.719,0.000382,3.0,0.195,-7.266,0.0,0.0561,123.028,4.0,0.586,1976.0,United States,,False,,,,,,,,,,,,,,,,,,,,,,,,,,
Fooled Around And Fell In Love,2hE5Lm5XOHR4t3xlhIFauP,1975-01-01,61,276000,False,10cc,6i6WlGzQtXtz7GcC5H5st5,574540,"['album rock', 'art rock', 'classic rock', 'classic uk pop', 'folk rock', 'glam rock', 'mellow gold', 'rock', 'soft rock', 'symphonic rock', 'yacht rock']",60,0.042,0.633,0.621,0.0172,10.0,0.186,-11.494,1.0,0.0313,113.325,3.0,0.593,,United Kingdom,,True,35.28,30.33,4.36,0.18,253.0,859.0,30.0,2.0,0.0,0.0,2.0,0.0,2.0,17.0,0.0,0.0,0.0,19.0,3.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0
Ora Pro Nobis Lucifer,0xwfDhU1YaXmNFnwhToFrT,2014-02-04,39,335213,False,10cc,6i6WlGzQtXtz7GcC5H5st5,574540,"['album rock', 'art rock', 'classic rock', 'classic uk pop', 'folk rock', 'glam rock', 'mellow gold', 'rock', 'soft rock', 'symphonic rock', 'yacht rock']",60,1.97e-05,0.106,0.986,7.67e-05,1.0,0.0719,-4.179,1.0,0.106,175.981,4.0,0.0557,,United Kingdom,,True,31.59,22.27,5.89,0.52,249.0,1130.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bank Account,5eqK0tbzUPo2SoeZsov04s,2017-07-06,78,220306,True,21 Savage,1URnnhqYAYcrqrcwql10ft,11503779,"['atl hip hop', 'rap', 'trap']",86,0.015,0.884,0.347,7e-06,8.0,0.0871,-8.227,0.0,0.35,75.016,4.0,0.376,1992.0,United States,male,False,64.61,43.77,4.62,0.21,785.0,2625.0,30.0,28.0,35.0,1.0,0.0,4.0,12.0,10.0,45.0,2.0,0.0,0.0,10.0,1.0,0.0,4.0,11.0,0.0,0.0,0.0
Kryptonite,6ZOBP3NvffbU4SZcrnt1k6,2000,79,233933,False,3 Doors Down,2RTUTCvo6onsAnheUk3aL9,3776237,"['alternative metal', 'nu metal', 'pop rock', 'post-grunge']",68,0.00664,0.545,0.865,1.1e-05,11.0,0.168,-5.708,0.0,0.0286,99.009,4.0,0.543,,United States,,True,40.63,41.85,5.25,0.19,303.0,1088.0,23.0,22.0,0.0,0.0,1.0,0.0,0.0,10.0,2.0,0.0,0.0,0.0,10.0,4.0,1.0,0.0,7.0,0.0,0.0,2.0
Here Without You,3NLrRZoMF0Lx6zTlYqeIo4,2002-11-12,76,238733,False,3 Doors Down,2RTUTCvo6onsAnheUk3aL9,3776237,"['alternative metal', 'nu metal', 'pop rock', 'post-grunge']",68,0.0492,0.557,0.533,0.0,10.0,0.205,-6.817,0.0,0.0252,143.994,4.0,0.233,,United States,,True,41.77,31.35,5.04,0.2,287.0,984.0,20.0,21.0,4.0,1.0,9.0,0.0,0.0,13.0,6.0,1.0,1.0,2.0,9.0,2.0,4.0,0.0,8.0,3.0,0.0,5.0
When I'm Gone,3WbphvawbMZ8FyqDxYGdSQ,2002-11-12,69,260333,False,3 Doors Down,2RTUTCvo6onsAnheUk3aL9,3776237,"['alternative metal', 'nu metal', 'pop rock', 'post-grunge']",68,0.00385,0.53,0.768,0.0,7.0,0.103,-5.611,1.0,0.0284,148.095,4.0,0.374,,United States,,True,47.03,25.51,5.0,0.11,445.0,1382.0,53.0,14.0,0.0,0.0,1.0,0.0,0.0,7.0,1.0,0.0,3.0,11.0,3.0,0.0,0.0,0.0,38.0,33.0,0.0,0.0
It's Not My Time,0uybt73QFXaLCoxuVf6fhm,2008-01-01,62,241960,False,3 Doors Down,2RTUTCvo6onsAnheUk3aL9,3776237,"['alternative metal', 'nu metal', 'pop rock', 'post-grunge']",68,0.00133,0.532,0.935,8.37e-06,0.0,0.106,-4.798,1.0,0.0619,128.025,4.0,0.309,,United States,,True,43.83,30.27,5.2,0.14,359.0,1152.0,21.0,8.0,2.0,6.0,13.0,1.0,0.0,11.0,1.0,5.0,0.0,0.0,9.0,5.0,6.0,0.0,14.0,0.0,0.0,3.0
Let Me Be Myself,37K07PsEPk3SuYpAvjTbJO,2008-01-01,53,228626,False,3 Doors Down,2RTUTCvo6onsAnheUk3aL9,3776237,"['alternative metal', 'nu metal', 'pop rock', 'post-grunge']",68,0.00468,0.496,0.675,1.16e-05,0.0,0.114,-6.155,1.0,0.028,153.988,4.0,0.493,,United States,,True,33.13,24.0,4.66,0.18,285.0,953.0,17.0,11.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,4.0,0.0,6.0,0.0,20.0,0.0,1.0,2.0
Surround Me with Your Love - Remastered,3fmznj2spxiwsDt9Mu0Ri5,2008-01-01,47,262000,False,3-11 Porter,7eEmF3XdOdZZKBJcJViMmk,5342,['electro jazz'],35,0.0684,0.614,0.385,0.00437,5.0,0.0875,-11.448,1.0,0.0245,103.996,4.0,0.243,,Norway,,True,,,,,,,,,,,,,,,,,,,,,,,,,,
