release_date,song_popularity,duration(ms),explicit,artist_name,artist_follower_no,artist_genres,artist_popularity,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,birth_year,artist_country,gender,band,repetitions_rate,mean_sentence_len,mean_word_len,unique_words_rate,total_words,total_char,count_word_i,count_word_you,count_word_oh,count_word_know,count_word_it,count_word_like,count_word_got,count_word_and,count_word_yeah,count_word_we,count_word_one,count_word_love,count_word_the,count_word_go,count_word_time,count_word_get,count_word_me,count_word_when,count_word_come,count_word_all,release_year,birth_decade
1958,64,181626,False,Bobby McFerrin,180372.0,,56.0,0.88,0.612,0.144,0.0,6.0,0.203,-12.204,0.0,0.0352,128.629,4.0,0.343,1950.0,United States,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,1960s and earlier,1950s
2012-06-26,44,182000,False,Pentatonix,3365331.0,,63.0,0.0176,0.694,0.681,0.0,6.0,0.447,-6.956,0.0,0.0944,128.061,4.0,0.716,,United States,,True,38.22,28.02,4.43,0.2,416.0,1364.0,11.0,8.0,0.0,0.0,4.0,3.0,0.0,10.0,1.0,6.0,7.0,2.0,16.0,5.0,7.0,5.0,4.0,0.0,3.0,1.0,2010s,
2017-04-07,48,209000,False,Pentatonix,3365331.0,,63.0,0.00876,0.499,0.519,0.0,9.0,0.249,-6.674,1.0,0.0344,165.036,4.0,0.517,,United States,,True,23.53,22.44,5.06,0.16,197.0,573.0,12.0,5.0,2.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,19.0,0.0,0.0,1.0,2010s,
2018-04-13,40,180680,False,Pentatonix,3365331.0,,63.0,0.0531,0.742,0.726,0.0,11.0,0.0803,-5.755,1.0,0.0582,77.48,4.0,0.93,,United States,,True,44.33,34.04,4.67,0.17,416.0,1372.0,30.0,0.0,1.0,0.0,32.0,2.0,1.0,2.0,2.0,2.0,0.0,1.0,6.0,0.0,1.0,0.0,3.0,0.0,1.0,0.0,2010s,
2016-02-26,55,222040,False,The Stanford Mendicants,2310.0,,31.0,0.00745,0.621,0.802,2.67e-05,10.0,0.597,-3.285,0.0,0.04,97.012,4.0,0.887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010s,
2018-11-16,44,205173,False,Pentatonix,3365331.0,,63.0,0.0757,0.499,0.779,0.0,11.0,0.261,-5.605,0.0,0.152,157.337,4.0,0.722,,United States,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,2010s,
2017-12-06,60,268960,False,Pentatonix,3365331.0,,63.0,0.47,0.364,0.378,0.0,7.0,0.339,-7.381,0.0,0.0331,89.918,3.0,0.366,,United States,,True,33.33,29.98,5.11,0.32,239.0,1051.0,8.0,5.0,0.0,0.0,8.0,1.0,0.0,9.0,0.0,0.0,0.0,2.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2010s,
2013-01-29,32,307138,False,On The Rocks,10297.0,,28.0,0.0968,0.557,0.647,0.0426,2.0,0.137,-4.222,1.0,0.0273,148.765,4.0,0.139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010s,
2017-04-07,51,355733,False,Pentatonix,3365331.0,,63.0,0.183,0.341,0.42,0.0,8.0,0.0967,-6.567,1.0,0.0318,145.808,4.0,0.306,,United States,,True,44.52,32.78,5.11,0.24,467.0,1573.0,11.0,13.0,28.0,0.0,1.0,0.0,1.0,6.0,3.0,3.0,0.0,1.0,7.0,15.0,3.0,2.0,14.0,0.0,3.0,4.0,2010s,
1942-06-20,58,168158,False,The Pied Pipers,23652.0,,48.0,0.919,0.198,0.276,0.00261,7.0,0.21,-10.588,1.0,0.0289,88.422,3.0,0.0692,,United States,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,1960s and earlier,
