song,track_id,release_date,song_popularity,duration(ms),explicit,artist_name,artist_id,artist_follower_no,artist_genres,artist_popularity
Voices Carry - Single Mix,4eOycahNij77maJicwgHvy,1985,41,261266,False,'Til Tuesday,1L0y9srZMyh9XUnYGv37IP,129538,"['boston rock', 'new romantic', 'new wave', 'new wave pop', 'synthpop']",42
Bye Bye Bye,62bOmKYxYg7dhrC6gH9vFn,2000-03-21,72,200400,False,*NSYNC,6Ff53KvcvAj5U7Z1vojB5o,1822035,"['boy band', 'dance pop', 'post-teen pop']",65
Tearin' up My Heart - Radio Edit,73q3FpQVXWk5eSUnyo83E4,1997,65,209400,False,*NSYNC,6Ff53KvcvAj5U7Z1vojB5o,1822035,"['boy band', 'dance pop', 'post-teen pop']",65
I Want You Back - Radio Edit,221LRlPHPuevgE1tuUlof9,1997,61,200440,False,*NSYNC,6Ff53KvcvAj5U7Z1vojB5o,1822035,"['boy band', 'dance pop', 'post-teen pop']",65
Dreamscape,5fp6m6Zo4LetiWaMMrPjy5,2010,51,277489,False,009 Sound System,0BjppA384A5QT9kRKCJOyb,28620,['dream trance'],36
Fooled Around And Fell In Love,2hE5Lm5XOHR4t3xlhIFauP,1975-01-01,61,276000,False,10cc,6i6WlGzQtXtz7GcC5H5st5,574540,"['album rock', 'art rock', 'classic rock', 'classic uk pop', 'folk rock', 'glam rock', 'mellow gold', 'rock', 'soft rock', 'symphonic rock', 'yacht rock']",60
Ora Pro Nobis Lucifer,0xwfDhU1YaXmNFnwhToFrT,2014-02-04,39,335213,False,10cc,6i6WlGzQtXtz7GcC5H5st5,574540,"['album rock', 'art rock', 'classic rock', 'classic uk pop', 'folk rock', 'glam rock', 'mellow gold', 'rock', 'soft rock', 'symphonic rock', 'yacht rock']",60
Bank Account,5eqK0tbzUPo2SoeZsov04s,2017-07-06,78,220306,True,21 Savage,1URnnhqYAYcrqrcwql10ft,11503779,"['atl hip hop', 'rap', 'trap']",86
Kryptonite,6ZOBP3NvffbU4SZcrnt1k6,2000,79,233933,False,3 Doors Down,2RTUTCvo6onsAnheUk3aL9,3776237,"['alternative metal', 'nu metal', 'pop rock', 'post-grunge']",68
Here Without You,3NLrRZoMF0Lx6zTlYqeIo4,2002-11-12,76,238733,False,3 Doors Down,2RTUTCvo6onsAnheUk3aL9,3776237,"['alternative metal', 'nu metal', 'pop rock', 'post-grunge']",68
When I'm Gone,3WbphvawbMZ8FyqDxYGdSQ,2002-11-12,69,260333,False,3 Doors Down,2RTUTCvo6onsAnheUk3aL9,3776237,"['alternative metal', 'nu metal', 'pop rock', 'post-grunge']",68
It's Not My Time,0uybt73QFXaLCoxuVf6fhm,2008-01-01,62,241960,False,3 Doors Down,2RTUTCvo6onsAnheUk3aL9,3776237,"['alternative metal', 'nu metal', 'pop rock', 'post-grunge']",68
Let Me Be Myself,37K07PsEPk3SuYpAvjTbJO,2008-01-01,53,228626,False,3 Doors Down,2RTUTCvo6onsAnheUk3aL9,3776237,"['alternative metal', 'nu metal', 'pop rock', 'post-grunge']",68
Surround Me with Your Love - Remastered,3fmznj2spxiwsDt9Mu0Ri5,2008-01-01,47,262000,False,3-11 Porter,7eEmF3XdOdZZKBJcJViMmk,5342,['electro jazz'],35
All Mixed Up,18ZOH3KKu5Elt5ysocFyX4,1995-07-11,61,179600,True,311,41Q0HrwWBtuUkJc7C1Rp6K,859507,"['alternative metal', 'alternative rock', 'funk metal', 'funk rock', 'nu metal', 'pop rock', 'rap rock', 'reggae fusion', 'rock']",61
Amber,6Fe3Flc9SjE03pqwD6PVQl,2001-06-19,64,206973,False,311,41Q0HrwWBtuUkJc7C1Rp6K,859507,"['alternative metal', 'alternative rock', 'funk metal', 'funk rock', 'nu metal', 'pop rock', 'rap rock', 'reggae fusion', 'rock']",61
The Heart Of Rock And Roll,715sEYWkafd4xvl87dwZgu,2013-01-01,56,304920,False,311,41Q0HrwWBtuUkJc7C1Rp6K,859507,"['alternative metal', 'alternative rock', 'funk metal', 'funk rock', 'nu metal', 'pop rock', 'rap rock', 'reggae fusion', 'rock']",61
What's Up?,0jWgAnTrNZmOGmqgvHhZEm,1992-01-01,81,295533,False,4 Non Blondes,0Je74SitssvJg1w4Ra2EK7,384137,"['new wave pop', 'pop rock']",62
Crazy,5DZdCgnX9xAj59X6X7cQBs,2015-02-09,63,192400,False,4Minute,6cdC1cwqh3eJAXaxXJt2jv,1036340,"['k-pop', 'k-pop girl group']",50
Long Way Home,7m3IIP2HPEjmtvzREOJILz,2014-06-27,49,199027,False,5 Seconds of Summer,5Rl15oVamLq7FbSb0NNBNy,8707577,"['boy band', 'dance pop', 'pop', 'post-teen pop']",78
She Looks So Perfect,1gugDOSMREb34Xo0c1PlxM,2014-06-27,74,202496,False,5 Seconds of Summer,5Rl15oVamLq7FbSb0NNBNy,8707577,"['boy band', 'dance pop', 'pop', 'post-teen pop']",78
Youngblood,2iUXsYOEPhVqEBwsqP70rE,2018-06-15,81,203417,False,5 Seconds of Summer,5Rl15oVamLq7FbSb0NNBNy,8707577,"['boy band', 'dance pop', 'pop', 'post-teen pop']",78
Want You Back,2vHfabj6nFebekTYODqntl,2018-06-15,65,173081,True,5 Seconds of Summer,5Rl15oVamLq7FbSb0NNBNy,8707577,"['boy band', 'dance pop', 'pop', 'post-teen pop']",78
Youngblood - Acoustic,5EqlEvrylr3DNy3R11Kmrz,2018-06-01,55,220995,False,5 Seconds of Summer,5Rl15oVamLq7FbSb0NNBNy,8707577,"['boy band', 'dance pop', 'pop', 'post-teen pop']",78
Lie To Me,3567eNX2L3RkkMkwspncMH,2018-06-15,68,150467,False,5 Seconds of Summer,5Rl15oVamLq7FbSb0NNBNy,8707577,"['boy band', 'dance pop', 'pop', 'post-teen pop']",78
Lie To Me - Acoustic,0oX4kLiXk2hqlhdXddedhC,2019-02-01,49,155476,False,5 Seconds of Summer,5Rl15oVamLq7FbSb0NNBNy,8707577,"['boy band', 'dance pop', 'pop', 'post-teen pop']",78
Lie To Me - Recorded at Spotify Studios NYC,47DHoEPxnSkT4f626qo5Mw,2018-08-01,41,160523,False,5 Seconds of Summer,5Rl15oVamLq7FbSb0NNBNy,8707577,"['boy band', 'dance pop', 'pop', 'post-teen pop']",78
Moving Along,4UQajPk0EPvbwWTl0fYi4C,2018-06-15,58,197517,False,5 Seconds of Summer,5Rl15oVamLq7FbSb0NNBNy,8707577,"['boy band', 'dance pop', 'pop', 'post-teen pop']",78
Monster Among Men,7CQN84rMdkBzXJVsvefOM6,2018-06-15,56,192332,False,5 Seconds of Summer,5Rl15oVamLq7FbSb0NNBNy,8707577,"['boy band', 'dance pop', 'pop', 'post-teen pop']",78
Empty Wallets,5kayspK9ep7h9nryvrCsFh,2018-06-15,56,187651,False,5 Seconds of Summer,5Rl15oVamLq7FbSb0NNBNy,8707577,"['boy band', 'dance pop', 'pop', 'post-teen pop']",78
Radio Protector,1QuJm7XRpFjEfOU6A01mw2,2008-03-24,39,328186,False,65daysofstatic,6DVVsQAnpHdJjb1nYuOQ6g,129710,['post-rock'],39
Rebellion (Lies),0xOeB16JDbBJBJKSdHbElT,2004-06-16,63,310893,False,8-Bit Arcade,21VBNkZvKxrI9zmfFRxXvn,38652,['8-bit'],40
Rosetta Stoned,2JN8wDYhJqwNH6ei7MOdDS,2017-06-26,1,674266,False,8-Bit Arcade,21VBNkZvKxrI9zmfFRxXvn,38652,['8-bit'],40
I Ran (So Far Away),4OdhffpvG3HxDJMxYOKh97,1982-04-30,64,308933,False,A Flock Of Seagulls,0uAjBatvB4ubpd4kCfjmNt,492718,"['new romantic', 'new wave', 'new wave pop', 'synthpop']",56
Rockstar,6KbcsH2mvgvG3f8nLcIY8d,2014-01-20,45,236480,False,A Great Big World,5xKp3UyavIBUsGy3DQdXeF,503424,"['modern rock', 'neo mellow', 'piano rock', 'pop', 'pop rock', 'viral pop']",62
This Is My Father's World,5MBHprWbl2bkNplRVarZ6Q,2012-10-12,38,314073,False,A New Liturgy,5WeVXS5COv8kOfCkfe5YMW,6670,"['christian uplift', 'roots worship']",27
For the Beauty of the Earth,5G7QaeDEy7kFPac5Hr5INn,2012-10-12,37,326907,False,A New Liturgy,5WeVXS5COv8kOfCkfe5YMW,6670,"['christian uplift', 'roots worship']",27
The Outsider,6CqYhhUPJORx1vvdTNc8jv,2003-01-01,62,246000,False,A Perfect Circle,4DFhHyjvGYa9wxdHUjtDkc,1571472,"['alternative metal', 'alternative rock', 'nu metal', 'rap rock', 'rock', 'supergroup']",60
Oceans Away,6A8dnC0xkiuWN4BshmTB2I,2017-05-19,61,194013,False,A R I Z O N A,7hOGhpa8RMSuDOWntGIAJt,389505,"['electropop', 'indie poptimism', 'pop', 'pop dance', 'tropical house']",61
Electric Touch,0AS090YJNo3vh75GrFxwbX,2017-05-19,53,198493,False,A R I Z O N A,7hOGhpa8RMSuDOWntGIAJt,389505,"['electropop', 'indie poptimism', 'pop', 'pop dance', 'tropical house']",61
I Was Wrong,3a2MbZSw3NGRWHqsCJ4iQj,2017-05-19,45,217293,False,A R I Z O N A,7hOGhpa8RMSuDOWntGIAJt,389505,"['electropop', 'indie poptimism', 'pop', 'pop dance', 'tropical house']",61
Cross My Mind,4FjPJhlEIWB9QVKFTc78Nn,2017-05-19,55,218760,False,A R I Z O N A,7hOGhpa8RMSuDOWntGIAJt,389505,"['electropop', 'indie poptimism', 'pop', 'pop dance', 'tropical house']",61
This Stage Is Your Life,2uinj9QpP1DUsob3MKeVpi,2012-06-05,17,229173,False,A Silent Film,7HO5HS3yeokRBGVC4nSKIb,33227,"['oxford indie', 'stomp pop']",30
Award Tour,5YTM7OgQDt9EJAYcfHLniJ,1993-11-09,63,226440,True,A Tribe Called Quest,09hVIj6vWgoCDtT03h8ZCa,1718164,"['alternative hip hop', 'conscious hip hop', 'east coast hip hop', 'gangster rap', 'golden age hip hop', 'hardcore hip hop', 'hip hop', 'jazz rap', 'queens hip hop', 'rap']",65
Can I Kick It?,3Ti0GdlrotgwsAVBBugv0I,1990-04-17,71,251573,False,A Tribe Called Quest,09hVIj6vWgoCDtT03h8ZCa,1718164,"['alternative hip hop', 'conscious hip hop', 'east coast hip hop', 'gangster rap', 'golden age hip hop', 'hardcore hip hop', 'hip hop', 'jazz rap', 'queens hip hop', 'rap']",65
Plain Jane,4dVpf9jZjcORqGTLUaeYj9,2017-08-18,74,173600,True,A$AP Ferg,5dHt1vcEm9qb8fCyLcB3HL,3386449,"['gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap', 'underground hip hop']",71
Dancing Queen,0GjEhVFGZW8afUYGChu3Rr,1976,83,230400,False,ABBA,0LcJLqbBmaGUft1e9Mm8HV,8435887,"['europop', 'swedish pop']",80
Voulez-Vous,17OqI90oTFZ3J8PVu6j07V,1979,71,309173,False,ABBA,0LcJLqbBmaGUft1e9Mm8HV,8435887,"['europop', 'swedish pop']",80
Gimme! Gimme! Gimme! (A Man After Midnight),3vkQ5DAB1qQMYO4Mr9zJN6,1979,82,292613,False,ABBA,0LcJLqbBmaGUft1e9Mm8HV,8435887,"['europop', 'swedish pop']",80
Mamma Mia,2TxCwUlqaOH3TIyJqGgR91,1975,78,213266,False,ABBA,0LcJLqbBmaGUft1e9Mm8HV,8435887,"['europop', 'swedish pop']",80
Fernando,4BM8yJ0PzBi2ZewpMTOxtx,1976,68,252960,False,ABBA,0LcJLqbBmaGUft1e9Mm8HV,8435887,"['europop', 'swedish pop']",80
Guns for Hire,31F5kR9fPxI7lBV0Stfl4V,1983-08-15,43,204720,False,AC/DC,711MCceyCBcFnzjGY4Q7Un,23954105,"['australian rock', 'hard rock', 'rock']",80
Can I Sit Next to You Girl,75uv44LGpyL0DhyLli3aXh,1976-05-14,48,251373,False,AC/DC,711MCceyCBcFnzjGY4Q7Un,23954105,"['australian rock', 'hard rock', 'rock']",80
Cold Hearted Man,4IT9XxTHKgivxPk6lS8ZE5,2010-04-29,41,214373,False,AC/DC,711MCceyCBcFnzjGY4Q7Un,23954105,"['australian rock', 'hard rock', 'rock']",80
Evil Walks,5ahPl557niKxia8Kquw1yh,1981-11-23,42,263666,False,AC/DC,711MCceyCBcFnzjGY4Q7Un,23954105,"['australian rock', 'hard rock', 'rock']",80
Rock 'N' Roll Damnation,2308VPPaMh7Q3AX1Zap99A,1978-05-05,56,217640,False,AC/DC,711MCceyCBcFnzjGY4Q7Un,23954105,"['australian rock', 'hard rock', 'rock']",80
The Razors Edge,4ObCns6nM6tShx5a5tHiGC,1990-09-24,51,262533,False,AC/DC,711MCceyCBcFnzjGY4Q7Un,23954105,"['australian rock', 'hard rock', 'rock']",80
Let There Be Rock,753KutoAy00apPsplMRetG,1977-03-21,64,366346,False,AC/DC Backing Force,6K7kTFlUf5pcbzMnt1g0y6,1826,['tribute'],3
Back In Black,08mG3Y1vljYA6bvDt4Wqkj,1980-07-25,84,255493,False,AC/DC JAM,7yPFm21ZPIpKhlZlIovYFW,12837,,8
Hells Bells,69QHm3pustz01CJRwdo20z,1980-07-25,74,312293,False,AC/DC JAM,7yPFm21ZPIpKhlZlIovYFW,12837,,8
Shoot to Thrill,0C80GCp0mMuBzLf3EAXqxv,1980-07-25,73,317426,False,AC/DC JAM,7yPFm21ZPIpKhlZlIovYFW,12837,,8
Sin City,3UQQ7g6J8fiMB7oldQzBoq,1978-05-05,57,285040,False,AC/DC JAM,7yPFm21ZPIpKhlZlIovYFW,12837,,8
You Shook Me All Night Long,2SiXAy7TuUkycRVbbWDEpo,1980-07-25,81,210173,False,AC/DC Tribute Band,2ijmJLGSSMcUdHI7sfsJIB,9158,['tribute'],19
Highway to Hell,2zYzyRzz6pRmhPzyfMEC8s,1979-07-27,84,208400,False,AC/DC Tribute Band,2ijmJLGSSMcUdHI7sfsJIB,9158,['tribute'],19
War Machine,5YnNWHKCJaJKwbagXDb5Uf,2008-10-20,61,189786,False,AC/DC Tribute Band,2ijmJLGSSMcUdHI7sfsJIB,9158,['tribute'],19
Big Gun,7zjzu90Q4mtNNaE9Ol9Zbv,2009-11-10,60,259413,False,AC/DC's Greatest Tribute Band,6o9jgLzbCFYJZI6IyENhGH,1186,['tribute'],6
Ukulele and Chill,0sRg0YVlQNN3klM0NtysR4,2017-04-29,45,170666,False,AGM,2X0CuLwmbLWRUdBDaQVBgg,2050,,27
American Horror Story Theme (Long Version),4wTdIPoTgldrXGQN5Nzg7q,2013-03-01,8,185019,False,AHS Project,0cLd3LseKPXYUyCzU9IDwO,2807,,7
Everybody Hurts,6PypGyiu0Y2lCDBN1XZEnP,1992-10-05,75,320266,False,AHS Project,0cLd3LseKPXYUyCzU9IDwO,2807,,7
Gimme What You Got (Pull The Trigger),2DHFdW4pcbK2BGZ18bbTWt,2007-02-27,9,197052,False,AHS Project,0cLd3LseKPXYUyCzU9IDwO,2807,,7
