song,track_id,release_date,song_popularity,duration(ms),explicit,artist_name,artist_id
Voices Carry - Single Mix,4eOycahNij77maJicwgHvy,1985,41,261266,False,'Til Tuesday,1L0y9srZMyh9XUnYGv37IP
Bye Bye Bye,62bOmKYxYg7dhrC6gH9vFn,2000-03-21,72,200400,False,*NSYNC,6Ff53KvcvAj5U7Z1vojB5o
Tearin' up My Heart - Radio Edit,73q3FpQVXWk5eSUnyo83E4,1997,65,209400,False,*NSYNC,6Ff53KvcvAj5U7Z1vojB5o
I Want You Back - Radio Edit,221LRlPHPuevgE1tuUlof9,1997,61,200440,False,*NSYNC,6Ff53KvcvAj5U7Z1vojB5o
Dreamscape,5fp6m6Zo4LetiWaMMrPjy5,2010,51,277489,False,009 Sound System,0BjppA384A5QT9kRKCJOyb
Bank Account,5eqK0tbzUPo2SoeZsov04s,2017-07-06,78,220306,True,21 Savage,1URnnhqYAYcrqrcwql10ft
Kryptonite,6ZOBP3NvffbU4SZcrnt1k6,2000,79,233933,False,3 Doors Down,2RTUTCvo6onsAnheUk3aL9
Here Without You,3NLrRZoMF0Lx6zTlYqeIo4,2002-11-12,76,238733,False,3 Doors Down,2RTUTCvo6onsAnheUk3aL9
When I'm Gone,3WbphvawbMZ8FyqDxYGdSQ,2002-11-12,69,260333,False,3 Doors Down,2RTUTCvo6onsAnheUk3aL9
It's Not My Time,0uybt73QFXaLCoxuVf6fhm,2008-01-01,62,241960,False,3 Doors Down,2RTUTCvo6onsAnheUk3aL9
Let Me Be Myself,37K07PsEPk3SuYpAvjTbJO,2008-01-01,53,228626,False,3 Doors Down,2RTUTCvo6onsAnheUk3aL9
Surround Me with Your Love - Remastered,3fmznj2spxiwsDt9Mu0Ri5,2008-01-01,47,262000,False,3-11 Porter,7eEmF3XdOdZZKBJcJViMmk
All Mixed Up,18ZOH3KKu5Elt5ysocFyX4,1995-07-11,61,179600,True,311,41Q0HrwWBtuUkJc7C1Rp6K
Amber,6Fe3Flc9SjE03pqwD6PVQl,2001-06-19,64,206973,False,311,41Q0HrwWBtuUkJc7C1Rp6K
What's Up?,0jWgAnTrNZmOGmqgvHhZEm,1992-01-01,81,295533,False,4 Non Blondes,0Je74SitssvJg1w4Ra2EK7
Crazy,5DZdCgnX9xAj59X6X7cQBs,2015-02-09,63,192400,False,4Minute,6cdC1cwqh3eJAXaxXJt2jv
Long Way Home,7m3IIP2HPEjmtvzREOJILz,2014-06-27,49,199027,False,5 Seconds of Summer,5Rl15oVamLq7FbSb0NNBNy
She Looks So Perfect,1gugDOSMREb34Xo0c1PlxM,2014-06-27,74,202496,False,5 Seconds of Summer,5Rl15oVamLq7FbSb0NNBNy
Youngblood,2iUXsYOEPhVqEBwsqP70rE,2018-06-15,81,203417,False,5 Seconds of Summer,5Rl15oVamLq7FbSb0NNBNy
Want You Back,2vHfabj6nFebekTYODqntl,2018-06-15,65,173081,True,5 Seconds of Summer,5Rl15oVamLq7FbSb0NNBNy
Youngblood - Acoustic,5EqlEvrylr3DNy3R11Kmrz,2018-06-01,55,220995,False,5 Seconds of Summer,5Rl15oVamLq7FbSb0NNBNy
Lie To Me,3567eNX2L3RkkMkwspncMH,2018-06-15,68,150467,False,5 Seconds of Summer,5Rl15oVamLq7FbSb0NNBNy
Lie To Me - Acoustic,0oX4kLiXk2hqlhdXddedhC,2019-02-01,49,155476,False,5 Seconds of Summer,5Rl15oVamLq7FbSb0NNBNy
Lie To Me - Recorded at Spotify Studios NYC,47DHoEPxnSkT4f626qo5Mw,2018-08-01,41,160523,False,5 Seconds of Summer,5Rl15oVamLq7FbSb0NNBNy
Moving Along,4UQajPk0EPvbwWTl0fYi4C,2018-06-15,58,197517,False,5 Seconds of Summer,5Rl15oVamLq7FbSb0NNBNy
Monster Among Men,7CQN84rMdkBzXJVsvefOM6,2018-06-15,56,192332,False,5 Seconds of Summer,5Rl15oVamLq7FbSb0NNBNy
Empty Wallets,5kayspK9ep7h9nryvrCsFh,2018-06-15,56,187651,False,5 Seconds of Summer,5Rl15oVamLq7FbSb0NNBNy
Radio Protector,1QuJm7XRpFjEfOU6A01mw2,2008-03-24,39,328186,False,65daysofstatic,6DVVsQAnpHdJjb1nYuOQ6g
Rebellion (Lies),0xOeB16JDbBJBJKSdHbElT,2004-06-16,63,310893,False,8-Bit Arcade,21VBNkZvKxrI9zmfFRxXvn
Rosetta Stoned,2JN8wDYhJqwNH6ei7MOdDS,2017-06-26,1,674266,False,8-Bit Arcade,21VBNkZvKxrI9zmfFRxXvn
I Ran (So Far Away),4OdhffpvG3HxDJMxYOKh97,1982-04-30,64,308933,False,A Flock Of Seagulls,0uAjBatvB4ubpd4kCfjmNt
Rockstar,6KbcsH2mvgvG3f8nLcIY8d,2014-01-20,45,236480,False,A Great Big World,5xKp3UyavIBUsGy3DQdXeF
This Is My Father's World,5MBHprWbl2bkNplRVarZ6Q,2012-10-12,38,314073,False,A New Liturgy,5WeVXS5COv8kOfCkfe5YMW
For the Beauty of the Earth,5G7QaeDEy7kFPac5Hr5INn,2012-10-12,37,326907,False,A New Liturgy,5WeVXS5COv8kOfCkfe5YMW
The Outsider,6CqYhhUPJORx1vvdTNc8jv,2003-01-01,62,246000,False,A Perfect Circle,4DFhHyjvGYa9wxdHUjtDkc
Oceans Away,6A8dnC0xkiuWN4BshmTB2I,2017-05-19,61,194013,False,A R I Z O N A,7hOGhpa8RMSuDOWntGIAJt
Electric Touch,0AS090YJNo3vh75GrFxwbX,2017-05-19,53,198493,False,A R I Z O N A,7hOGhpa8RMSuDOWntGIAJt
I Was Wrong,3a2MbZSw3NGRWHqsCJ4iQj,2017-05-19,45,217293,False,A R I Z O N A,7hOGhpa8RMSuDOWntGIAJt
Cross My Mind,4FjPJhlEIWB9QVKFTc78Nn,2017-05-19,55,218760,False,A R I Z O N A,7hOGhpa8RMSuDOWntGIAJt
This Stage Is Your Life,2uinj9QpP1DUsob3MKeVpi,2012-06-05,17,229173,False,A Silent Film,7HO5HS3yeokRBGVC4nSKIb
Award Tour,5YTM7OgQDt9EJAYcfHLniJ,1993-11-09,63,226440,True,A Tribe Called Quest,09hVIj6vWgoCDtT03h8ZCa
Can I Kick It?,3Ti0GdlrotgwsAVBBugv0I,1990-04-17,71,251573,False,A Tribe Called Quest,09hVIj6vWgoCDtT03h8ZCa
Plain Jane,4dVpf9jZjcORqGTLUaeYj9,2017-08-18,74,173600,True,A$AP Ferg,5dHt1vcEm9qb8fCyLcB3HL
Dancing Queen,0GjEhVFGZW8afUYGChu3Rr,1976,83,230400,False,ABBA,0LcJLqbBmaGUft1e9Mm8HV
Voulez-Vous,17OqI90oTFZ3J8PVu6j07V,1979,71,309173,False,ABBA,0LcJLqbBmaGUft1e9Mm8HV
Gimme! Gimme! Gimme! (A Man After Midnight),3vkQ5DAB1qQMYO4Mr9zJN6,1979,82,292613,False,ABBA,0LcJLqbBmaGUft1e9Mm8HV
Mamma Mia,2TxCwUlqaOH3TIyJqGgR91,1975,78,213266,False,ABBA,0LcJLqbBmaGUft1e9Mm8HV
Fernando,4BM8yJ0PzBi2ZewpMTOxtx,1976,68,252960,False,ABBA,0LcJLqbBmaGUft1e9Mm8HV
Guns for Hire,31F5kR9fPxI7lBV0Stfl4V,1983-08-15,43,204720,False,AC/DC,711MCceyCBcFnzjGY4Q7Un
Can I Sit Next to You Girl,75uv44LGpyL0DhyLli3aXh,1976-05-14,48,251373,False,AC/DC,711MCceyCBcFnzjGY4Q7Un
Cold Hearted Man,4IT9XxTHKgivxPk6lS8ZE5,2010-04-29,41,214373,False,AC/DC,711MCceyCBcFnzjGY4Q7Un
Evil Walks,5ahPl557niKxia8Kquw1yh,1981-11-23,42,263666,False,AC/DC,711MCceyCBcFnzjGY4Q7Un
Rock 'N' Roll Damnation,2308VPPaMh7Q3AX1Zap99A,1978-05-05,56,217640,False,AC/DC,711MCceyCBcFnzjGY4Q7Un
The Razors Edge,4ObCns6nM6tShx5a5tHiGC,1990-09-24,51,262533,False,AC/DC,711MCceyCBcFnzjGY4Q7Un
Let There Be Rock,753KutoAy00apPsplMRetG,1977-03-21,64,366346,False,AC/DC Backing Force,6K7kTFlUf5pcbzMnt1g0y6
Back In Black,08mG3Y1vljYA6bvDt4Wqkj,1980-07-25,84,255493,False,AC/DC JAM,7yPFm21ZPIpKhlZlIovYFW
Hells Bells,69QHm3pustz01CJRwdo20z,1980-07-25,74,312293,False,AC/DC JAM,7yPFm21ZPIpKhlZlIovYFW
Shoot to Thrill,0C80GCp0mMuBzLf3EAXqxv,1980-07-25,73,317426,False,AC/DC JAM,7yPFm21ZPIpKhlZlIovYFW
Sin City,3UQQ7g6J8fiMB7oldQzBoq,1978-05-05,57,285040,False,AC/DC JAM,7yPFm21ZPIpKhlZlIovYFW
You Shook Me All Night Long,2SiXAy7TuUkycRVbbWDEpo,1980-07-25,81,210173,False,AC/DC Tribute Band,2ijmJLGSSMcUdHI7sfsJIB
Highway to Hell,2zYzyRzz6pRmhPzyfMEC8s,1979-07-27,84,208400,False,AC/DC Tribute Band,2ijmJLGSSMcUdHI7sfsJIB
War Machine,5YnNWHKCJaJKwbagXDb5Uf,2008-10-20,61,189786,False,AC/DC Tribute Band,2ijmJLGSSMcUdHI7sfsJIB
Big Gun,7zjzu90Q4mtNNaE9Ol9Zbv,2009-11-10,60,259413,False,AC/DC's Greatest Tribute Band,6o9jgLzbCFYJZI6IyENhGH
American Horror Story Theme (Long Version),4wTdIPoTgldrXGQN5Nzg7q,2013-03-01,8,185019,False,AHS Project,0cLd3LseKPXYUyCzU9IDwO
Used to Be,7FjKU2mfpEpvKIbx8naZRk,2018-05-25,60,174793,False,AJ Mitchell,6dn6x1XOng3LOAnfTjUn77
Weak,5DZwnLxHjWTZaz9jOpRhxb,2017-06-09,68,201159,False,AJR,6s22t5Y3prQHyaHWUN1R1C
Growing Old on Bleecker Street,3n622hniaMFIJ6Dbf6B1WS,2013,51,203093,False,AJR,6s22t5Y3prQHyaHWUN1R1C
Burn The House Down,0TkJIyL69RAUIbNwGub6uR,2018-09-21,70,212373,True,AJR,6s22t5Y3prQHyaHWUN1R1C
Let the Games Begin,2pwnEzgIzYL4AOw4ousjkB,2015-10-23,60,201004,True,AJR,6s22t5Y3prQHyaHWUN1R1C
Come Hang Out,0ouGDyldWWfeqfTYxX1bTZ,2017-06-09,57,266239,True,AJR,6s22t5Y3prQHyaHWUN1R1C
Drama,6iUlQohL4sfM80J4DHidy7,2017-06-09,52,204424,True,AJR,6s22t5Y3prQHyaHWUN1R1C
"It's On Us (Benefiting the ""It's On Us"" Campaign)",2AVZJ4u8JOhcYBX5yHGdrX,2017-03-31,55,207671,False,AJR,6s22t5Y3prQHyaHWUN1R1C
100 Bad Days,17FK4etx1u2NK60cptINMS,2019-04-26,66,212783,False,AJR,6s22t5Y3prQHyaHWUN1R1C
Infinity,3i78lP1Y35m6Idgnbw9Fow,2013,52,239693,False,AJR,6s22t5Y3prQHyaHWUN1R1C
OK Overture,4NgsFDgvexIMJdvLsKKXeB,2021-03-26,55,271884,True,AJR,6s22t5Y3prQHyaHWUN1R1C
Thirsty,0iQJLCJyv6TTPUP4u4y8DJ,2013,44,182146,False,AJR,6s22t5Y3prQHyaHWUN1R1C
My Calling,2z00vFwIe6zaCoA0LWmiTX,2013,51,236400,False,AJR,6s22t5Y3prQHyaHWUN1R1C
Already There,3lDLtwKsCePiMmQxTuDJsk,2017-09-01,26,166788,False,ARY,4FLA7MpTdP5nNUQfiaA3WM
Say My Name,2UP7KnRSvc4taXbjOoSX0f,2019-01-15,62,222023,False,ATEEZ,68KmkJeZGfwe1OUaivBa2L
"HALA HALA (Hearts Awakened, Live Alive)",4v2BLMhWtVvBnZwuoiKxja,2019-01-15,60,202097,False,ATEEZ,68KmkJeZGfwe1OUaivBa2L
Half the World Away,4TWshc0BwiunzoppGOqiYR,2014,49,198133,False,AURORA,1WgXqy2Dd70QQOU7Ay074N
Running with the Wolves,20qtjUDcb8HH8ouF51BirQ,2014,58,194760,False,AURORA,1WgXqy2Dd70QQOU7Ay074N
Runaway,0TCmhnbMpw5zwPsTvlXTJi,2014,74,248826,False,AURORA,1WgXqy2Dd70QQOU7Ay074N
"Murder Song (5, 4, 3, 2, 1) - Acoustic",7zVtJsdWDKTvykPA6WMcL9,2014,50,218666,False,AURORA,1WgXqy2Dd70QQOU7Ay074N
In Boxes,0uXIKlIHcZjH2vmtnw0oR7,2015-04-04,38,203666,False,AURORA,1WgXqy2Dd70QQOU7Ay074N
Little Boy in the Grass,4svfKC0r83ePCiyanfnScV,2015-04-04,40,256480,False,AURORA,1WgXqy2Dd70QQOU7Ay074N
Winter Bird,76OkhkuYMwKg1DczqFQARu,2014,43,244146,False,AURORA,1WgXqy2Dd70QQOU7Ay074N
I Went Too Far,60j1W3Q4QanUCKlLDvc3ph,2014,43,207853,False,AURORA,1WgXqy2Dd70QQOU7Ay074N
Sail,7ueP5u2qkdZbIPN2YA6LR0,2011-03-15,74,259093,False,AWOLNATION,4njdEjTnLfcGImKZu1iSrz
I Am,31CgjKFR1pzFO5Im365rXB,2015-03-17,46,274322,False,AWOLNATION,4njdEjTnLfcGImKZu1iSrz
Hollow Moon (Bad Wolf),7cfr3F2jpzjwqL6ZhGfjtH,2015-03-17,50,258860,True,AWOLNATION,4njdEjTnLfcGImKZu1iSrz
Kill Your Heroes,7LJF6AtijSniUJpmZTqKRj,2011-03-15,55,178840,False,AWOLNATION,4njdEjTnLfcGImKZu1iSrz
Jump on My Shoulders,6H8AKz5NlriFAJ2soLDfSa,2021-03-15,40,248413,True,AWOLNATION,4njdEjTnLfcGImKZu1iSrz
Not Your Fault,31hUonEmUsEVd0FMRv1s5r,2011-03-15,52,242466,False,AWOLNATION,4njdEjTnLfcGImKZu1iSrz
Thiskidsnotalright,0dGPGavyiPtOdAGGi11pt3,2021-03-15,46,161200,True,AWOLNATION,4njdEjTnLfcGImKZu1iSrz
Back & Forth,45wneA2j0Z0WMnYNDO6Ad0,1994-05-22,57,231093,False,Aaliyah,0urTpYCsixqZwgNTkPJOJ4
And Can It Be (Live),3Z6nm5jGyvKnjNMCD6b1uR,2016-10-14,32,358699,False,Aaron Keyes,1hVGwYOmDTYPGeymjvTmeq
My Savior My God,1syFMBjjRvL3uReOM8yWEb,2005-08-23,53,291986,False,Aaron Shust,0oM8RWZXhJYSnzGdepP7fM
Ever Be,15ieUaAegwQRlmEigRUwTv,2016-01-29,48,230093,False,Aaron Shust,0oM8RWZXhJYSnzGdepP7fM
My Hope Is in You,3IuTraprrDiCiGJ7tiGpGu,2011-08-23,47,254880,False,Aaron Shust,0oM8RWZXhJYSnzGdepP7fM
No One Higher,7qOUyF8WXgrMBFuCAMz8o1,2013-07-16,40,271026,False,Aaron Shust,0oM8RWZXhJYSnzGdepP7fM
Outta Style,0b1Xx3vUapY6ZOqbPMcpDq,2017-02-24,53,222213,False,Aaron Watson,5BKzvAPtNXnt0LwzGvKOH3
Take A Chance On Me,5BckPAYcKEJuYs1eV1BHHe,1977,74,243933,False,Abbacadabra,4vhgCDK6RHCBN6P3jPQlZX
Here Comes The Sun,4ytiGaEUfAPKSXDSlQ7E1j,1994-01-01,36,179813,False,Abbey Road Players,2oXgeUDjSW4iq9tQMuEnyi
Teutonic Terror,3crIa21lfjekujCQuGjlJT,2010-08-20,58,313586,False,Accept,3JDIAtVrJdQ7GFOX26LYpv
The Sign,0hrBpAOgrt8RXigk83LLNE,1993-12-24,72,191240,False,Ace Of Base Tribute,5AaeSySGHvppZl7azXOrLl
Night Moves,6UBjSnyP1O5W5ndJoO9vUk,1976-10-22,72,324422,False,Acoustic Bob Seger,1au7efBmkAcR8bnkTJm6Dx
Johnny Belinda,6ZAgDTnMmQCT5BftTVL7w2,2011-08-23,34,304733,False,Active Child,54KTsBl98buzGkELjGlnuU
Famous,1m8Vr5xZ80ALZS42c5YJsD,2020-04-17,61,186960,False,Adam Doleac,4NsVVzuaZGk4aya8Pyacew
Ghost Town,44aN5xKL3kGHvQ5bXVk6B8,2015-06-11,66,208330,True,Adam Lambert,6prmLEyn4LfHlD9NnXWlf7
No One Else Like You,6CdV33i2ztlvFheXGz4Huc,2014-07-01,54,208426,False,Adam Levine,4bYPcJP5jwMhSivRcqie2n
Lost Stars,7rdGrVIoqwPWOULauvglio,2014-06-23,59,267933,False,Adam Levine,4bYPcJP5jwMhSivRcqie2n
Lovesong,7nm6DlSzzJTH1rk2e6EgJz,2011-01-24,57,316240,False,Adele,4dpARuHxo51G3z768sgnrY
Chasing Pavements,56pHllZT7QOacB0bP56ofx,2008-01-28,70,210506,False,Adele,4dpARuHxo51G3z768sgnrY
Someone Like You,1zwMYTA5nlNjZxYrvBB2pV,2011-01-24,79,285240,False,Adele Adkins,6HZ5IH5ksF7cs4mg0HQlSN
Rolling in the Deep,1c8gk2PeTE04A1pIDH9YMk,2011-01-24,79,228093,True,Adele Smooth Soul,4XFwASLyA1n2AfsgU7f2y2
Water Prayer Rasta mix ( Matt the Alien Remix ),1wjqK886ncl5DF0CjIVjeH,2012-07-18,33,241893,False,Adham Shaikh,5jYKOT6F4yFRxLripcUnRu
Georgia,4C7yk5VraGyg2zgI0Ru450,2019-01-02,18,218484,True,Adjust the Sails,4xVPBr0C8OxqJL4796EZzr
Overthinking,5ACfFPkUWPUQp3EVUNbMD8,2017-03-17,34,235144,False,Adna,1pduOlnYE5rd4VChXbeU8g
Teenage Crime - Radio Edit,3WeOzaQI5ukIzBOiHv3TWh,2012-04-03,45,168920,False,Adrian Lux,5kp9Qhzri9LrDkzrtjt5Sh
La Meg Leve,2z054TcxQSHH9YCrhLK0vk,2019-02-15,29,164750,False,Adrian Sellevoll,7A3fefmffBi6jDv2MxMcz3
Ha Meg,0XKNC63BQXyUVhHSVEbXEO,2018-11-09,40,183314,False,Adrian Sellevoll,7A3fefmffBi6jDv2MxMcz3
Night Mist,1C2gmVNoLyUd1RvR51sFds,2011-10-21,39,1211200,False,Adrian Von Ziegler,6qDQ6rJG5TOT7PppxBKhqI
Prisencolinensinainciusol,05JZ5FjuflMEY9uq5ogBYF,1992,47,229067,False,Adriano Celentano,1yq9UuPp5DIb5w6eswGbKV
Floats My Boat,2xH94bp1TPSMPPPnnSwIGL,2012-07-30,61,206160,True,Aer,25hbSOMmbhgqvonjC876UJ
"I Don't Want to Miss a Thing - From ""Armageddon"" Soundtrack",6lEuFGrUqR9Yc6hSsHPnYP,1998-08-18,76,299760,False,Aerosmith,7Ey4PD4MYsKc5I2dolUwbH
Sweet Emotion,24NwBd5vZ2CK8VOQVnqdxr,1975-04-08,74,274133,False,Aerosmith,7Ey4PD4MYsKc5I2dolUwbH
Dream On,5MxNLUsfh7uzROypsoO5qe,1973-01-05,80,266960,False,Aerosmith,7Ey4PD4MYsKc5I2dolUwbH
Shrunk,1CXfq8G5lBVyJQ82UIFWH1,2016-04-29,44,188613,True,Aesop Rock,2fSaE6BXtQy0x7R7v9IOmZ
Kirby,38DEoY02UZW4TsPEQOdC3S,2016-04-29,48,166906,False,Aesop Rock,2fSaE6BXtQy0x7R7v9IOmZ
Moongod,54LcV9HzyNTrwbYYY88XD5,2012-10-13,22,341175,False,Aeternam,2rC2vtci4S1g3irfTDyi9s
Invading Jerusalem,3ReP2W54WiZqfjhcYy2xLP,2012-10-13,12,192871,False,Aeternam,2rC2vtci4S1g3irfTDyi9s
Cosmogony,33RjAmb18LXGsepgHgt3Qn,2012-10-13,15,290958,False,Aeternam,2rC2vtci4S1g3irfTDyi9s
Gi Mer,1egS3W6ZKpba37nFDYRd8L,2019-03-01,1,189913,False,African Sunz,0Awbgcuh9HNrl9mtrwiHyo
Crazy Rap (Colt 45 & 2 Zig Zags),1ACZpHI5vZ5Ea4xGlkdGWM,2001-08-28,75,328666,True,Afroman,4Icvbp9RDt5aY2TWDOVDsr
